,mean_importance,std_importance
roll12_zero_ratio,0.5224715431765957,0.025488886133937898
roll3_mean,0.5123576489985585,0.037099782281560675
cons_lag1,0.5066233661893745,0.02738209621244262
roll12_min,0.4792391176058141,0.023679911807159497
roll24_max,0.4724090876220749,0.03417584660993975
roll3_min,0.4454516520530595,0.029463244289087337
flag_zero_consumption,0.43936013992618295,0.033941991740101526
roll12_std,0.4122968073492128,0.02234611279795813
roll3_std,0.3949013636442233,0.02133599122825527
roll12_max,0.35101301102072757,0.02328395211643001
roll24_std,0.28504773253691534,0.021993580186803228
roll3_zero_ratio,0.27233007130206915,0.02788134131454264
roll24_min,0.2475299045645571,0.03886902071116937
delta1,0.24047436187363366,0.04335270728748762
consumption,0.2357945287740286,0.018733848969503634
period_hours,0.194580119261789,0.02543305787074176
delta2,0.18461832269935674,0.04265451978591629
roll12_mean,0.1213239201607817,0.023899820710120943
flag_anom_32768,0.11858656450081698,0.03761728470454166
roll24_mean,0.11083780266928947,0.04145677233891566
cons_z_meter,0.06105727383737188,0.02172598144979248
roll3_max,0.0606212780330716,0.036029173174380695
roll24_zero_ratio,-0.00569858302318588,0.0313974968489353
cons_lag2,-0.027856001927537368,0.030174644908351384
